Respondent ID,Q1,Q2,REF1: Product,REF2: Age,REF3: Gender,REF4: Music,REF5: Activity,Positive_Sent,Negative_Sent,Overall_Sent,Overall_Sent,,
1,"little, light",expensive,Other,25-34,Female,R&B,Working,0,-0.25,-0.25,negative,,
2,The battery power is great.,The screen is hard to see when outside.,Product E,35-44,Male,Classical,Working,0.223606798,-0.088388348,0.13521845,positive,,
3,cost and size,difficult software,Other,25-34,Female,Rock,Other,0,-0.353553391,-0.353553391,negative,,
4,Having all my CDs in the palm of my hand!,"Nothing, I love it!",Product A,35-44,Female,Folk,Traveling,0,0.375,0.375,positive,,
5,The shuffle mode.,Battery life seems shorter than advertised.,Product A,35-44,Male,Rock,Traveling,0,0,0,neutral,,
6,Battery life. Portability. Accessories. Style.,Ubiquitousness; everyone has one.,Product A,25-34,Male,Rock,Traveling,0,0,0,neutral,,
7,I like its ability to store all of my music. I also like the ability to create playlists.,I wish the 40GB model was still available. I have a 20GB model and need more memory.,Product A,35-44,Male,Jazz,Relaxing,0.535824925,-0.07475469,0.461070236,positive,,
8,"portability, capacity, sound quality, durability",it doesn't have a light.,Other,35-44,Male,Rock,Other,0.715541753,0,0.715541753,positive,,
9,"Small, great sound, capacity.",Nothing. I love it.,Product A,25-34,Female,Rock,Traveling,0.25,0.236289112,0.486289112,positive,,
10,Able to hold all of my songs in one place.,It is in the shop due to a hardware failure.,Product A,35-44,Male,Rock,Relaxing,0,-0.237170825,-0.237170825,negative,,
11,It's portable! I can take it anywhere.,smudges on the display,Product A,45-54,Male,Jazz,Traveling,0.096464626,-0.3,-0.203535374,negative,,
12,Living in my own little world,Battery life,Product A,35-44,Male,Rock,Traveling,0,0,0,neutral,,
13,mobility,Technical difficulties setting it up initially and managing the library of songs on my PC.,Product A,35-44,Female,Other,Traveling,0,0.025819889,0.025819889,positive,,
14,"I like that Product A has a lot of storage. Also, the interface is very easy to use.","It is a little heavy, and the battery life isn't long enough.",Product A,25-34,Female,Country,Working,0.397254993,0.072168784,0.469423777,positive,,
15,It holds a ton of music.,Battery life.,Product A,25-34,Male,Rock,Traveling,0.244948974,0,0.244948974,positive,,
16,It's fun to use,nothing,Product A,45-54,Female,R&B,Traveling,0.375,0,0.375,positive,,
17,its cool,battery,Product A,35-44,Male,Rock,Traveling,0.530330086,0,0.530330086,positive,,
18,lots of disk space,it was very expensive,Product A,25-34,Female,Country,Traveling,0,-0.225,-0.225,negative,,
19,Others think it is cool and it sounds great.,I find the controls hard to use.,Product B,<18,Female,Rap,Working,0.416666667,-0.094491118,0.322175548,positive,,
20,lightweight,so small afraid I'll lose it easily,Product A,45-54,Female,Rock,Other,0,-0.377964473,-0.377964473,negative,,
21,easy to use,size,Product D,25-34,Female,Rock,Traveling,0.577350269,0,0.577350269,positive,,
22,great accessories,high price,Product A,45-54,Male,Classical,Relaxing,0.353553391,0,0.353553391,positive,,
23,i can listen to my music wherever i want. i also like that it is durable/dropable.,i can't change the color of the outside. I wanted red.,Product A,25-34,Female,Rock,Traveling,0.320970869,0,0.320970869,positive,,
24,supports standard for lossless compression which offers much higher fidelity.,window scratches easily,Other,>54,Female,Jazz,Traveling,0.442718872,-0.346410162,0.096308711,positive,,
25,very small and holds lots of songs,didn't come with a belt clip,Product C,18-24,Female,Country,Traveling,0,0,0,neutral,,
26,its great. i can share music with my friends and download tons of tunes off the internet.,it is old now and big compared to the ones my friends have. i want a newer thinner one but i can't afford it.,Product A,18-24,Female,Rap,Relaxing,0.318786085,-0.134780613,0.184005471,positive,,
27,I can listen to the old Ludwig Van without anyone interfering with my activities.,it is often mistaken for a cell phone.,Product A,25-34,Male,Rock,Working,0,-0.353553391,-0.353553391,negative,,
28,It offers lots of disk space for all of my CDs.,It is expensive.,Product A,18-24,Male,Rock,Traveling,0,-0.144337567,-0.144337567,negative,,
29,Always having a good collection of music at hand,Battery life is limited,Product A,25-34,Male,Rock,Traveling,0.45,-0.375,0.075,positive,,
30,It's portable and the device is well-designed.,You have to shut down the device by holding down the pause button. This isn't intuitive and doesn't work as smoothly as I would like. I'd prefer an old-fashioned on and off button.,Product A,25-34,Female,Rock,Traveling,0.37123106,-0.018792642,0.352438418,positive,,
31,Its portability enables me to listen to my music while I am milking cows and working in the fields.,I think that it could be lighter and less expensive. And longer battery life.,Product B,>54,Female,Country,Traveling,0.195003374,0.025884175,0.220887549,positive,,
32,it allows me to control all of my music.,It's old.,Other,35-44,Female,Other,Relaxing,0.2,0,0.2,positive,,
33,It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.,Nothing.,Product A,45-54,Male,Rock,Traveling,0.12602086,0,0.12602086,positive,,
34,The ability to build a playlist is the best feature. There are times I like to mix and match my selections.,Transfering the music between devices can be time consuming.,Other,45-54,Male,Rock,Traveling,0.249303107,-0.133333333,0.115969774,positive,,
35,"small, easy to sync",scratches easily,Product A,25-34,Female,Folk,Traveling,0.4,-0.424264069,-0.024264069,negative,,
36,It has great sound quality. It also has capacity for all my music.,The cost is the worst part. It makes it difficult to upgrade.,Product A,45-54,Male,Jazz,Traveling,0.441476214,-0.204124145,0.237352069,positive,,
37,holds lots of music,needs a longer battery life,Product A,18-24,Male,Rock,Relaxing,0.3,0,0.3,positive,,
38,batteries last a long time,The buttons are small.,Product E ,35-44,Female,Folk,Traveling,0,0,0,neutral,,
39,Easy to download music and runs a long time without recharging.,Proprietary music format.,Product A,45-54,Male,Rock,Traveling,0.422115882,0.404145188,0.826261071,positive,,
40,tunes everywhere,"nothing, it's awesome",Product A,<18,Female,Rock,Studying,0,0.346410162,0.346410162,positive,,
41,It's easy to use.,It's really easy to turn it on by accident and run the battery down.,Product A,25-34,Female,Jazz,Working,0.5,0.251225567,0.751225567,positive,,
42,The interface is incredibly easy to use.,"Compared to newer devices, the number of songs it can hold is quite small.",Product A,25-34,Male,Classical,Working,0.075592895,0,0.075592895,positive,,
43,it holds many songs,uploading songs is too slow.,Product A,>54,Male,Classical,Relaxing,0,-0.111803399,-0.111803399,negative,,
44,"It's not that great, really. What I like most about it is that it's NOT Product A!","Well, at first it worked great, cycled thru all CDs, etc. But a few weeks later it only played the current CD and then stopped. Now, for no apparent reason, it repeats the current CD over and over. And yes, I have read the manual!",Product E,35-44,Male,Rap,Traveling,0.018100412,0.124099902,0.142200313,positive,,
45,Everything!  Product A rules!  I can't wait to get a video one!,Nothing!  It is better than anything else out there!,Product A,18-24,Male,R&B,Traveling,0.043155274,0.154343402,0.197498675,positive,,
46,"Ability to carry large amounts of music in a small, lightweight device.",Cost,Product A,25-34,Female,Classical,Traveling,0.317542648,0,0.317542648,positive,,
47,"I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be.","It's so light, light as a feather, that I once accidently left it in my trousers and they both went into the wash!",Product A,45-54,Male,Blues,Traveling,0.153481952,0,0.153481952,positive,,
48,ease of use,could be smaller like Product A,Product A,25-34,Male,Country,Relaxing,0.433012702,0.204124145,0.637136847,positive,,
49,"It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly.","It was a bit expensive, but I think it was worth it.",Other,25-34,Male,Other,Traveling,0.446119373,0.414970506,0.861089879,positive,,
50,portability,battery life,Product A,25-34,Female,Rock,Relaxing,0,0,0,neutral,,
51,taking all my music everywhere,loosing all my music if it breaks,Product D,35-44,Male,Jazz,Relaxing,0.268328157,0.075592895,0.343921052,positive,,
52,i have a Product A. i like the small size and good sound.,lack of a screen.,Product A,35-44,Male,Jazz,Traveling,0.346687623,-0.375,-0.028312377,negative,,
53,Convenience,Nothing,Product A,35-44,Male,Folk,Traveling,0.5,0,0.5,positive,,
54,"The ability to take my CD collection and have it in one simple, small, portable device.",It was slightly confusing to set-up,Product A,18-24,Female,Rock,Traveling,0.1875,-0.113389342,0.074110658,positive,,
55,I can store a lot of music on it.,It was rather expensive.,Product A,25-34,Female,Rock,Traveling,0.2,-0.125,0.075,positive,,
56,"Small, light-weight, and easy to bring along.",Limited space for songs. Not expandable.,Product A,25-34,Female,Rock,Traveling,0.282842712,-0.204632374,0.078210339,positive,,
57,"Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music.",A little bulky and I have to remember to change my cds before I get sick of the music.,Other,35-44,Female,Country,Traveling,-0.488729833,-0.080295507,-0.56902534,negative,,
58,I can listen to the radio on it,Sometimes the reception isn't that great,Product D,25-34,Female,Folk,Traveling,0,-0.204124145,-0.204124145,negative,,
59,It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.,It has no radio.,Product A,25-34,Male,Rock,Traveling,0.45,0,0.45,positive,,
60,Ability to carry a huge library of tunes aorund with me in something the size of a credit card.,"Interface with my PC, which doesn't always work and which requires you be very careful to ensure you don't accidentally remove music from the device.",Product A,>54,Male,R&B,Traveling,0.454243153,0.138,0.592243153,positive,,
61,"high quality, durable, good sound",short battery life,Product D,35-44,Female,Jazz,Relaxing,1.118033989,0,1.118033989,positive,,
62,Looks cool.,Can't rip songs from it.,Product A,25-34,Male,Other,Working,0.530330086,0.111803399,0.642133485,positive,,
63,it keeps playing. i don't have to stop and change a CD.,nothing,Product A,18-24,Female,Other,Working,0.072758177,0,0.072758177,positive,,
64,Portability and intuitive features of Product A,Loss of fidelity due to data compression,Product A,25-34,Female,Country,Relaxing,0.188982237,-0.094491118,0.094491118,positive,,
65,Music choice; lack of skipping (vs. CD players),Battery life is too short.,Product A,35-44,Female,Rock,Other,0.088388348,0,0.088388348,positive,,
66,Convenience of storing all my music in one device,It's somewhat bulky,Product B,25-34,Male,Other,Traveling,0.366666667,-0.115470054,0.251196613,positive,,
67,Durably constructed,Bulky and heavy to carry,Product D,25-34,Female,Jazz,Traveling,0,-0.804984472,-0.804984472,negative,,
68,Large storage capacity,Expensive compared to other manufacturers,Product A,18-24,Female,Other,Relaxing,0,-0.223606798,-0.223606798,negative,,
69,Stores 5000 songs in a compact portable player.,Low battery life,Product A,35-44,Male,Blues,Relaxing,0.20788046,0,0.20788046,positive,,
70,small,hard to rearrange play list on the device,Product A,>54,Male,Folk,Traveling,0,-0.088388348,-0.088388348,negative,,
71,"Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers.",The screen,Product A,35-44,Male,Other,Traveling,0.509901951,0,0.509901951,positive,,
72,Portable and durable,not enough space on it,Product B,>54,Male,Folk,Traveling,0.577350269,0.111803399,0.689153668,positive,,
73,its design is way cool,would be great if it was not so expensive,Product A,45-54,Female,Rock,Traveling,0.335410197,-0.1,0.235410197,positive,,
74,great quality,too expensive,Product D,>54,Male,Classical,Working,1.060660172,-0.176776695,0.883883476,positive,,
75,"Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player.","It would be nice if the hard disk capacity were larger. 5Gb would be a sufficent capacity, although I prefer not to sacirifice device size.",Other,25-34,Male,Jazz,Traveling,0.132099875,-0.29098358,-0.158883704,negative,,
76,storage capacity,could be smaller,Product E,<18,Female,Rap,Studying,0,0,0,neutral,,
77,The software is very cool.,Battery,Product A,25-34,Male,Rock,Traveling,0.603738354,0,0.603738354,positive,,
78,sleek design,cost,Other,25-34,Female,Rock,Traveling,0.353553391,0,0.353553391,positive,,
79,I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like,You can't use standard batteries in it,Product A,45-54,Female,Other,Other,0.252412601,0,0.252412601,positive,,
80,Small,mine is old and so it hold only 16 songs LOL,Product D,35-44,Male,Rock,Other,0,0,0,neutral,,
81,It's nice,Its old,Product D,25-34,Female,Other,Traveling,0.353553391,0,0.353553391,positive,,
82,"Small, handy device",Too costly still,Product A,35-44,Male,Jazz,Traveling,0.288675135,-0.288675135,0,neutral,,
83,It's small & fits in your pocket.,It doesn't hold many songs,Other,25-34,Female,Other,Traveling,0,0,0,neutral,,
84,"It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great.",Too costly.,Product A,25-34,Male,Classical,Relaxing,0.352000657,-0.353553391,-0.001552733,negative,,
85,"Good quality sound, easy to carry",battery goes dead quite fast,Product A,35-44,Female,R&B,Traveling,1.041033141,0,1.041033141,positive,,
86,Handy,batteries,Product D,25-34,Female,Rock,Relaxing,0.5,0,0.5,positive,,
87,Its great look and easy to use interface,Battery life is not as good as it should be,Product A,25-34,Female,Folk,Traveling,0.530330086,-0.237170825,0.293159261,positive,,
88,"Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive.","It's old and it's so big! Even though it's 20 GB, it's not big enough.",Other,35-44,Female,Rap,Traveling,0.237331149,0.055693878,0.293025027,positive,,
89,Small but lots of space (60 GB). Video is a bit of a toy but cool.,"Software is not great. Can only view all songs, not close sections up so you can view just albums or artists. Can only order items alphabetically.",Product A,35-44,Female,Rap,Traveling,0.306948561,-0.122061547,0.184887014,positive,,
90,the colour and size,nothing,Product A,25-34,Female,Other,Traveling,0,0,0,neutral,,
91,"As well as being able to listen to music, can watch movies, surf internet, etc.",Barely any internal storage. I have to purchase seperate storage.,Other,25-34,Female,Other,Traveling,0.361478446,0.055693878,0.417172323,positive,,
92,"Because it is also an organiser, I always carry it with me.","Small capacity, poor user interface for music",Other,45-54,Male,Blues,Traveling,0,0.037796447,0.037796447,positive,,
93,It's a portable music device,Battery life. They're are better players on the market.,Product A,25-34,Male,Other,Traveling,0.380131556,0.165000037,0.545131593,positive,,
94,Long battery life. Also when you turn it on it picks up where you left off.,It is not loud enough,Product D,>54,Male,Classical,Traveling,0,0.223606798,0.223606798,positive,,
95,It's beautiful.,Have to charge it.,Product A,45-54,Female,Classical,Relaxing,0.530330086,0,0.530330086,positive,,
96,its tiny and can hold lots of songs and photos,It is too expensive.,Product A,<18,Female,Rock,Relaxing,0,-0.125,-0.125,negative,,
97,It's very small.,It's unintuitive menu system.,Other,35-44,Male,Rock,Traveling,0,0,0,neutral,,
98,"Big storage capacity, also does video",too heavy,Product C,35-44,Female,Other,Studying,0.102062073,0,0.102062073,positive,,
99,stores 2 days worth of music,short battery life,Product A,35-44,Male,Rock,Relaxing,0.603738354,0,0.603738354,positive,,
100,Long battery life. Good sound quality.,Flimsy construction.,Product E ,35-44,Male,Rock,Traveling,0.551341261,-0.353553391,0.197787871,positive,,
101,It's portable.,Nothing,Other,45-54,Female,Other,Traveling,0.176776695,0,0.176776695,positive,,
102,The size and the fact that it has an included FM radio,The battery life time,Other,25-34,Male,Rock,Traveling,0.173205081,0,0.173205081,positive,,
103,Its good looking and easy to use,"battery life is appalling, also ear phones aren't very good",Product A,18-24,Male,Jazz,Traveling,0.661437828,-0.284604989,0.376832838,positive,,
104,Easy to organise my music files. Good battery life.,The distinctive earphones are a magnet for muggers.,Product A,25-34,Male,Rock,Traveling,0.502280154,0.318198052,0.820478206,positive,,
105,Small and easy to use,Could do with more storage,Other,35-44,Male,Other,Traveling,0.447213595,0,0.447213595,positive,,
106,Its so small and cute,Too many cables and things hanging around my ears,Product A,45-54,Male,Jazz,Traveling,0.335410197,-0.75,-0.414589803,negative,,
107,It is portable.,The weight.,Other,35-44,Male,Rock,Other,0.144337567,0,0.144337567,positive,,
108,"It's well designed, light and very easy to use.",The battery life could be better,Product A,>54,Female,Blues,Relaxing,0.866666667,0.326598632,1.193265299,positive,,
109,I can always bring it with me. The sound quality is very good.,Nothing,Other,>54,Female,Folk,Other,0.701742861,0,0.701742861,positive,,
110,"It's lightweight, the battery life is very good, cool design.",It sometimes freezes.,Product A,<18,Male,Blues,Relaxing,0.664078309,-0.230940108,0.433138201,positive,,
111,"It is compact, tidy and easy to use",I am quite happy with its current features since it serves my purpose,Product D,25-34,Female,Rock,Relaxing,0.777817459,0.374422632,1.152240092,positive,,
112,Not a lot.  I hardly use it.,Very limited memory. Slow data speed. Poor battery life.,Other,25-34,Male,Other,Traveling,0,-0.404145188,-0.404145188,negative,,
113,It's portable,"Doesn't let you take stuff off once it's on there. So when it crashes, and it does, you've lost all your music",Product D,45-54,Male,Classical,Traveling,0.176776695,-0.181154986,-0.004378291,negative,,
114,Large storage capacity and a good LCD screen for viewing digital photos,Battery life limitations,Product C,35-44,Male,Blues,Traveling,0.216506351,-0.144337567,0.072168784,positive,,
115,It was a freebie!,Limited memory,Other,35-44,Male,Folk,Relaxing,0,-0.530330086,-0.530330086,negative,,
116,Ease of use. Looks good. Compatible with car stereo.,Was more expensive than other players.,Product A,25-34,Male,Other,Traveling,0.404447596,-0.183711731,0.220735865,positive,,
117,Listening to any songs I like any time I like.,The batteries.,Product A,35-44,Female,Blues,Traveling,0.316227766,0,0.316227766,positive,,
118,"I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers.",Takes time to upload music from CD's,Product A,25-34,Female,R&B,Traveling,-0.000718115,0.226778684,0.226060569,positive,,
119,It looks good and is very easy to use,Headphones hurt my ear after a while,Product A,25-34,Female,Rock,Traveling,0.85,-0.283473355,0.566526645,positive,,
120,The sound quality and the ability to record and mix my own play lists.,Battery drainage,Product D,35-44,Female,Blues,Traveling,0.400891863,-0.176776695,0.224115168,positive,,
121,Storage capacity (40GB),Size,Product B,25-34,Male,Other,Working,0,0,0,neutral,,
122,Compact and waterproof,size,Product B,35-44,Male,R&B,Other,0.577350269,0,0.577350269,positive,,
123,It's sound,It's not also a phone,Product A,25-34,Male,Jazz,Traveling,0,0,0,neutral,,
124,size and accessories,controls not always easy to manage,Product A,25-34,Female,Rock,Relaxing,0,-0.489897949,-0.489897949,negative,,
125,it was free,can only hold about 16 songs,Product B,25-34,Female,Rock,Other,0.288675135,0,0.288675135,positive,,
126,It's so easy to find the music I like.,earphones are a bit uncomfortable.,Product A,45-54,Female,Jazz,Traveling,0.633333333,-0.335410197,0.297923137,positive,,
127,It's tough.,style is a little clunky,Product D,35-44,Male,Rock,Other,0.176776695,-0.035777088,0.140999608,positive,,
128,It's small and holds all of my music.,Nothing,Product A,25-34,Female,Rock,Working,0.212132034,0,0.212132034,positive,,
129,size,battery life,Product A,18-24,Female,Country,Traveling,0,0,0,neutral,,
130,Ease of use and portability.,Battery needs to be well-charged.,Product A,25-34,Female,Blues,Traveling,0.335410197,0.326598632,0.662008829,positive,,
131,size,battery life,Other,25-34,Female,Other,Relaxing,0,0,0,neutral,,
132,size,battery life,Other,45-54,Male,Other,Other,0,0,0,neutral,,
133,I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.,"My player only holds 256 mb of data, so I can't keep as much music on it as I would like.",Product E,35-44,Male,Rock,Traveling,0.040275825,-0.053665631,-0.013389806,negative,,
134,The compact design,Having to recharge the battery,Other,35-44,Female,R&B,Other,0.230940108,0,0.230940108,positive,,
135,How easy it was to use,The headphones,Product A,<18,Male,Blues,Relaxing,0.326598632,0,0.326598632,positive,,
